User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:38Z,iam.amazonaws.com,AddUserToGroup,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",0b4f67f1-d479-4755-be5d-bc1a00be4196,96cec0ac-1a6c-4414-aaf4-3855d72ad773,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:37Z,iam.amazonaws.com,CreateUser,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::927337267992:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5P2M3YMML3OQFFX2L""}]",61bf5c51-4c79-4bd7-a095-2e147ea4257e,f098d0f8-31a5-44d2-b0d1-b90c3c70b398,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:03Z,iam.amazonaws.com,AddUserToGroup,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",cbfa5bbf-44f4-43ac-8410-458fa96bb981,24c58332-78b7-4556-8979-96c8ca297db2,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:03Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",4a6426b4-0e7f-45d3-b22d-0055dc9151e2,3ae004da-94a3-4265-8f57-5f08d36b7723,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:03Z,iam.amazonaws.com,CreateUser,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::927337267992:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5P2M3YMMJC5NON7YX""}]",ee6dd0df-9ce2-4a0c-b7d4-0f9b034aaa22,9c3a123f-d610-4801-9fc4-c2352a5eefaf,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:11:03Z,iam.amazonaws.com,CreateGroup,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5P2M3YMMNCIZSGZ5A""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::927337267992:group/Reviewers""}]",8f7b711d-bd23-449b-a74d-ce67607a57c6,3de20b30-e03b-43fe-aa6e-fb24afa80e07,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:11:03Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",e316e011-3238-4203-8e13-3d4cba498fdc,d83b695c-61e8-477f-91be-23855a87f93b,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:10:39Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",155f954c-dcf8-46da-b03c-d53c8ebb33a2,30ee2507-b648-4996-80dd-aa7b322089ff,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:10:39Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",6f233013-d3e1-4525-95b3-8b9f1cd32daa,baf2accf-3cb3-44c4-8e15-dddce2d21bec,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:10:39Z,iam.amazonaws.com,CreateGroup,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5P2M3YMMIPNL4O2KC""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::927337267992:group/CloudTrailAdmins""}]",b2f0bf4c-5311-41d6-a20b-e6378b5aaba9,fe47ac5f-8320-424c-b145-8dd664b33894,,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMKOHYVMEF,2020-06-29T02:49:54Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],76b2bfef-44ee-49cb-9a1c-1475a90a8232,1791b832-bdb9-4e42-839d-ef6ffab06df6,false,AwsApiCall,927337267992,
Administrator,,2020-06-29T02:48:41Z,signin.amazonaws.com,ConsoleLogin,us-east-1,142.182.50.171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36 Edg/83.0.478.54",,[],,39ad3631-0757-4ea1-9307-c345775a01b5,,AwsConsoleSignIn,927337267992,
root,ASIA5P2M3YMMMTO7RY43,2020-06-29T02:47:19Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Administrator""}]",18852468-33b2-4286-a6c1-8470a17320ca,7d1f3600-b49c-4931-ad94-f62c829b91fc,,AwsApiCall,927337267992,
root,ASIA5P2M3YMMMTO7RY43,2020-06-29T02:46:00Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,142.182.50.171,console.amazonaws.com,,[],97a6ccd1-2fc8-404a-af71-1c4f731deaff,d6a007d4-1e66-4152-934d-dae8091ef340,,AwsApiCall,927337267992,
root,,2020-06-29T00:55:20Z,signin.amazonaws.com,ConsoleLogin,us-east-1,142.182.50.171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36 Edg/83.0.478.54",,[],,37ba43d1-4efd-4646-b40f-01d242287e9c,,AwsConsoleSignIn,927337267992,
